Year,Units,Territorio,Value
2014,Porcentaje,ES,29.61
2014,Porcentaje,ES53,25.63
2015,Porcentaje,ES,27.5
2015,Porcentaje,ES53,30.6
2016,Porcentaje,ES,27.91
2016,Porcentaje,ES53,23.85
2017,Porcentaje,ES,27.2
2017,Porcentaje,ES53,24.75
2018,Porcentaje,ES,26.55
2018,Porcentaje,ES53,22.93
2019,Porcentaje,ES,25.6
2019,Porcentaje,ES53,20.59
2020,Porcentaje,ES,26.11
2020,Porcentaje,ES53,25.6
2021,Porcentaje,ES,27.15
2021,Porcentaje,ES53,22.36
2022,Porcentaje,ES,25.3
2022,Porcentaje,ES53,21.53
2023,Porcentaje,ES,25.11
2023,Porcentaje,ES53,23.44
